ticket_id,request_type,product_area,decision,decision_rule,confidence_level,overall_confidence,reason,response,retrieved_doc_id
T001,refund_request,billing,ESCALATE,#1,MEDIUM,0.430,"Detected 'billing' issue. As per policy, sensitive categories require human escalation.","Thanks for getting in touch about your billing concern. Since billing issues require a closer look at your account details, I've flagged this for our billing team who will reach out within 1 business day. For anything urgent, you can email billing-support@company.com directly.","DOC001, DOC002"
T002,bug_report,technical,REPLY,#7,LOW,0.287,Ticket classified as 'bug_report' in 'technical'. Retrieval confidence: MEDIUM (score: 0.2282). Overall confidence: 0.287 (LOW) — above safety threshold. Safe to generate a grounded automated response.,"Thanks for reaching out — happy to help with that.

3) Check your phone storage — the app requires at least 200MB free. 4) Toggle airplane mode on and off to reset network connection.

This is our best available guidance, but for a more tailored answer please reply with more details or contact us directly.","DOC018, DOC010"
T003,account_issue,account_access,ESCALATE,#1,LOW,0.243,"Detected 'account_access' issue. As per policy, sensitive categories require human escalation.","Account security issues need careful handling — I've escalated this to our security team who will verify your identity and restore access safely. Expect a response within a few hours. If you suspect unauthorized access, use the Forgot Password option on the login page as an immediate precaution.","DOC019, DOC006"
T004,fraud_report,fraud,ESCALATE,#1,HIGH,0.470,"Detected 'fraud' issue. As per policy, sensitive categories require human escalation.","We take reports like this very seriously. I've immediately escalated this to our fraud investigation team, who will treat it as a high-priority case. Please avoid sharing any further account details until they contact you. Your security is our top priority.","DOC008, DOC009"
T005,how_to_question,technical,REPLY,#7,MEDIUM,0.343,Ticket classified as 'how_to_question' in 'technical'. Retrieval confidence: HIGH (score: 0.4221). Overall confidence: 0.343 (MEDIUM) — above safety threshold. Safe to generate a grounded automated response.,"Appreciate you getting in touch. Here's what I found:

To export your data: go to Settings > Data > Export. Supported formats: CSV, JSON, XML.

If you need more specific help, reply with any additional details and our team will follow up.","DOC013, DOC019"
T006,unknown,billing,ESCALATE,#1,VERY_LOW,0.178,"Detected 'billing' issue. As per policy, sensitive categories require human escalation.","Thanks for getting in touch about your billing concern. Since billing issues require a closer look at your account details, I've flagged this for our billing team who will reach out within 1 business day. For anything urgent, you can email billing-support@company.com directly.","DOC002, DOC016"
T007,bug_report,technical,ESCALATE,#6,VERY_LOW,0.159,Overall confidence score 0.159 (VERY_LOW) is below the safety threshold of 0.28. Medium-confidence replies can be risky — escalating to ensure accuracy.,"It looks like your issue needs a closer look from our engineering team. I've escalated this and a specialist will follow up within 4 business hours. When they reach out, it'll help to have your device type, OS version, and any error codes or screenshots ready.","DOC010, DOC011"
T008,payment_issue,account_access,ESCALATE,#1,MEDIUM,0.354,"Detected 'account_access' issue. As per policy, sensitive categories require human escalation.","Account security issues need careful handling — I've escalated this to our security team who will verify your identity and restore access safely. Expect a response within a few hours. If you suspect unauthorized access, use the Forgot Password option on the login page as an immediate precaution.","DOC005, DOC006"
T009,how_to_question,onboarding,REPLY,#7,MEDIUM,0.389,Ticket classified as 'how_to_question' in 'onboarding'. Retrieval confidence: HIGH (score: 0.3977). Overall confidence: 0.389 (MEDIUM) — above safety threshold. Safe to generate a grounded automated response.,"Thanks for your message. Let me help you with that.

To add team members: go to Settings > Team > Invite Member. Enter their email and assign a role: Viewer (read-only), Editor (can edit), or Admin (full access).

If you need more specific help, reply with any additional details and our team will follow up.","DOC015, DOC014"
T010,bug_report,technical,REPLY,#7,MEDIUM,0.335,Ticket classified as 'bug_report' in 'technical'. Retrieval confidence: MEDIUM (score: 0.2409). Overall confidence: 0.335 (MEDIUM) — above safety threshold. Safe to generate a grounded automated response.,"Thanks for contacting us — I've looked into this for you.

Common error codes: ERR_001 means server timeout (retry in 5 minutes), ERR_002 means authentication failure (re-login), ERR_003 means data sync issue (clear cache).

If you need more specific help, reply with any additional details and our team will follow up.","DOC010, DOC014"
T011,fraud_report,fraud,ESCALATE,#1,MEDIUM,0.404,"Detected 'fraud' issue. As per policy, sensitive categories require human escalation.","We take reports like this very seriously. I've immediately escalated this to our fraud investigation team, who will treat it as a high-priority case. Please avoid sharing any further account details until they contact you. Your security is our top priority.","DOC014, DOC008"
T012,how_to_question,account_access,ESCALATE,#1,MEDIUM,0.349,"Detected 'account_access' issue. As per policy, sensitive categories require human escalation.","Account security issues need careful handling — I've escalated this to our security team who will verify your identity and restore access safely. Expect a response within a few hours. If you suspect unauthorized access, use the Forgot Password option on the login page as an immediate precaution.","DOC007, DOC019"
T013,bug_report,technical,REPLY,#7,MEDIUM,0.352,Ticket classified as 'bug_report' in 'technical'. Retrieval confidence: HIGH (score: 0.3704). Overall confidence: 0.352 (MEDIUM) — above safety threshold. Safe to generate a grounded automated response.,"Thanks for reaching out — happy to help with that.

For API issues: verify your API key is active in Settings > Developer > API Keys. Rate limits are 1000 requests/hour for Basic, 5000/hour for Pro, unlimited for Enterprise.

If you need more specific help, reply with any additional details and our team will follow up.","DOC012, DOC002"
T014,refund_request,billing,ESCALATE,#1,LOW,0.229,"Detected 'billing' issue. As per policy, sensitive categories require human escalation.","Thanks for getting in touch about your billing concern. Since billing issues require a closer look at your account details, I've flagged this for our billing team who will reach out within 1 business day. For anything urgent, you can email billing-support@company.com directly.","DOC003, DOC019"
T015,unknown,technical,REPLY,#7,MEDIUM,0.337,Ticket classified as 'unknown' in 'technical'. Retrieval confidence: HIGH (score: 0.4114). Overall confidence: 0.337 (MEDIUM) — above safety threshold. Safe to generate a grounded automated response.,"Thanks for your message. Let me help you with that.

For mobile app issues: 1) Ensure you are on the latest version (check App Store or Google Play). 2) Restart the app completely.

If you need more specific help, reply with any additional details and our team will follow up.","DOC018, DOC010"
T016,payment_issue,billing,ESCALATE,#1,LOW,0.208,"Detected 'billing' issue. As per policy, sensitive categories require human escalation.","Thanks for getting in touch about your billing concern. Since billing issues require a closer look at your account details, I've flagged this for our billing team who will reach out within 1 business day. For anything urgent, you can email billing-support@company.com directly.","DOC002, DOC001"
